region_id,nu,nu_unnorm
1,0.03298088295774407,0.09121728642997011
2,0.03383762609651523,0.0935868344007242
3,0.026084325477426618,0.07214304697225549
4,0.031936790960810806,0.0883295760292048
5,0.02631890032372783,0.07279182526517561
6,0.02898072211505092,0.080153791925551
7,0.029670653554470103,0.08206197836819941
8,0.029143724662710216,0.08060461824507989
9,0.024908667945745238,0.068891457560646
10,0.026810287595296998,0.0741508857110768
11,0.022625976707181323,0.0625780759326876
12,0.02442692946414731,0.0675590833753776
13,0.025217169018279893,0.0697446982314128
14,0.024594553303257504,0.0680226910891006
15,0.022309174314178025,0.0617018757817909
16,0.02616330950644754,0.0723614980309438
17,0.03213393117794319,0.0888748190318276
18,0.029947083061927213,0.08282651670975069
19,0.019630077021403205,0.054292129188835705
20,0.02187352679715333,0.060496978253915104
21,0.019801862611757273,0.05476724731772101
22,0.02081848822374076,0.057578992223372996
23,0.022455808033801317,0.06210742981199399
24,0.025506910931171214,0.07054605552353979
25,0.025074635710567998,0.0693504849663518
26,0.025472952663924468,0.0704521350243803
27,0.030512524873113112,0.08439039441783111
28,0.03326481480031498,0.0920025744479884
29,0.03089847206750623,0.0854578326614617
30,0.033765280285482493,0.0933867430758365
31,0.03406983143638411,0.0942290592018166
32,0.031757989339354704,0.0878350532252095
33,0.03141644435698399,0.0868904209506417
34,0.02942225685426547,0.0813749721112761
35,0.03088343209718678,0.08541623567686049
36,0.03528398365302845,0.09758711576619442
