region_id,vc_x,vc_y,vc_z,boundary_cps
1,9.384734300328443,6.870572743383388,-17.151556405908053,"[0, 2, 11, 12]"
2,72.02343975917606,2.2423394371584098,-32.109642982744376,"[1, 4, 6, 16]"
3,19.596639287584175,13.439179121957842,3.833838403066527,"[5, 2, 14, 12]"
4,22.423488956147445,18.032236825452355,10.208328276850153,"[5, 14, 18, 13]"
5,41.46887863858014,9.166268052413564,-13.976893364801523,"[5, 3, 18, 17]"
6,68.1042863722168,7.56060607432636,-26.237825709973535,"[7, 6, 15, 16]"
7,59.659597278247574,8.298658654927184,-15.836872781704573,"[7, 3, 15, 17]"
8,95.55543845068925,7.31362131114717,-27.973106508396214,"[8, 4, 9, 16]"
9,100.0,12.1212,-23.575310353389355,"[10, 9, 19, 16]"
10,8.54907280707532,23.195521512741067,-10.587261405398973,"[21, 11, 22, 12]"
11,6.769197445047527,40.6107557148007,-11.069023893421884,"[21, 22, 28, 31]"
12,76.34621267787378,22.70833725203553,-6.412885955092469,"[23, 15, 20, 16]"
13,59.64397510900724,26.731718668244568,-10.10160541657956,"[23, 15, 24, 17]"
14,60.22010692031123,40.95287979229048,-5.6745543917648735,"[23, 24, 29, 33]"
15,73.49500002464609,40.14135900538988,-10.684443111766475,"[23, 20, 29, 35]"
16,19.76912590008662,19.34647473443522,5.427721791461536,"[25, 14, 22, 12]"
17,24.467859385583566,18.359334798852863,3.93080754180366,"[25, 14, 18, 13]"
18,41.73051903548667,25.952596638323428,-7.659523326092817,"[25, 18, 24, 17]"
19,25.297342586937297,40.876833711067135,-9.340243048830224,"[25, 22, 34, 31]"
20,43.07585174700924,42.849964041318266,-2.768164999717066,"[25, 24, 34, 33]"
21,90.35699419477328,25.83341090139227,-12.242973169020733,"[26, 19, 20, 16]"
22,93.74675882377151,40.391070452199116,-14.341179784584158,"[26, 20, 27, 35]"
23,99.82149190656963,50.53143407994834,-14.889490025871938,"[30, 27, 37, 35]"
24,65.14396086087544,51.537917417373706,-7.258811115130609,"[32, 29, 36, 33]"
25,65.18661415057902,51.40995754826297,-11.202237862970883,"[32, 29, 36, 35]"
26,3.5747423712700805,62.06305667869591,-28.550716836842966,"[38, 28, 39, 31]"
27,59.60708708969936,58.069712910300645,-0.47805344447657916,"[40, 36, 41, 33]"
28,75.75215817351516,61.003613287621256,-9.538634191679963,"[40, 36, 42, 35]"
29,49.42459181388661,70.2340541773883,7.58376321966509,"[40, 41, 48, 47]"
30,57.67603244126521,78.06957297994623,-2.38797809538294,"[40, 48, 55, 54]"
31,77.30170145275595,75.53371702485232,-10.940218584090074,"[40, 42, 55, 53]"
32,26.845674440754124,61.9949260866631,-12.542257318500749,"[43, 34, 45, 31]"
33,43.17943226519047,59.34123502178713,-3.3768895632526754,"[43, 34, 41, 33]"
34,49.64209123619651,69.74468586030711,3.2460073305739745,"[43, 41, 48, 47]"
35,25.636173592683132,74.29095905475329,-7.898731927771324,"[43, 45, 51, 49]"
36,42.4142018425942,77.5442305633703,-2.2320137483748668,"[43, 48, 51, 54]"
37,91.63079779813253,60.58955526726676,-10.916970502610496,"[44, 37, 42, 35]"
38,92.61490025501426,76.54606695568283,-12.983051275872803,"[44, 42, 52, 53]"
39,2.967933617181141,65.8658165933023,-32.082354980729804,"[46, 39, 45, 31]"
40,10.338641853147143,75.41295949097407,-10.91858784134513,"[46, 45, 50, 49]"
41,60.12303772202511,93.16320560386204,-14.121290768771097,"[56, 55, 63, 54]"
42,70.29689415643898,95.52900801123555,-28.207485486613436,"[56, 55, 60, 53]"
43,27.556612491463575,90.72271412654086,-11.827858995297662,"[58, 51, 57, 49]"
44,42.96224100229614,91.49100656737984,-5.80502648037614,"[58, 51, 63, 54]"
45,92.63365183216823,91.9398061595369,-11.169567550825715,"[59, 52, 64, 53]"
46,9.715031517254591,89.75558516810044,-14.41542285919719,"[61, 50, 57, 49]"
47,74.06057220888937,99.59664122171144,-31.492467570609612,"[62, 60, 64, 53]"
